Date,City,State
3/2/17 14:08,Los Angeles,CA
3/2/17 14:10,Jacksonville,NC
3/2/17 14:41,Columbus,OH
3/2/17 16:45,New York,NY
3/2/17 17:07,Danbury,CT
3/2/17 17:07,Philadelphia,PA
3/2/17 18:02,Tucson,Arizona
3/2/17 18:37,New York,NY
3/2/17 19:11,Altadena,California
3/2/17 19:33,Washington,DC
3/2/17 20:09,New York,NY
3/2/17 20:52,Austin,MN
3/2/17 21:03,Lansing,New York
3/2/17 21:26,Rockford,IL
3/2/17 21:26,North Charleston,SC
3/2/17 21:26,Helena,Montana
3/2/17 21:26,Fort Myers,FL
3/2/17 21:26,Honolulu,HI
3/2/17 21:37,Key West,FL
3/2/17 22:00,St. Louis,MO
3/3/17 0:37,New York,NY
3/3/17 2:16,San Ramon,CA
3/3/17 2:29,Grand Rapids,Michigan
3/3/17 2:41,Altadena,California
3/3/17 5:41,Elizabeth,New Jersey
3/3/17 5:45,Bayside,New York
3/3/17 5:46,Montgomery,AL
3/3/17 6:37,Somers,NY
3/3/17 7:22,Las Vegas,NV
3/3/17 7:44,Washington,DC
3/3/17 7:45,New York,New York
3/3/17 8:18,Pueblo,CO
3/3/17 9:25,New York,NY
3/3/17 10:45,West Lafayette,IN
3/3/17 10:45,Indianapolis,IN
3/3/17 13:11,New York,NY
3/3/17 13:33,Pittsburg,KS
3/3/17 14:34,Sunnyside,Washington
3/4/17 1:07,Portland,ME
3/4/17 3:49,Elko,NV
3/4/17 5:52,Myrtle Beach,SC
3/4/17 10:30,Athens,GA
3/4/17 11:52,New York,NY
3/4/17 13:45,Cambridge,MA
3/4/17 13:56,Woodland,CA
3/4/17 14:41,Doral,Florida
3/4/17 15:15,Washington,DC
3/4/17 15:51,Chicago,IL
3/4/17 16:51,Orlando,Florida
3/4/17 17:07,Anchorage,Alaska
3/4/17 18:37,Memphis,TN
3/4/17 19:22,Altadena,California
3/4/17 20:44,Normangee,TX
3/4/17 21:15,New York,NY
3/4/17 21:48,Altadena,California
3/4/17 22:00,Santa Cruz,CA
3/4/17 22:00,Decatur,AL
3/5/17 0:03,Utica,New York
3/5/17 1:15,Clearfield,PA
3/5/17 1:42,New Orleans,LA
3/5/17 1:56,Binghamton,New York
3/5/17 2:07,Corpus Christi,Texas
3/5/17 3:15,Indianapolis,IN
3/5/17 3:15,Erie,PA
3/5/17 5:41,Jacksonville,FL
3/5/17 5:52,Richmond,VA
3/5/17 6:46,Atlanta,GA
3/5/17 7:45,Washington,DC
3/5/17 7:56,Lihue,HI
3/5/17 8:05,San Francisco,CA
3/5/17 8:18,Boston,MA
3/5/17 8:45,Phoenix,AZ
3/5/17 9:07,Portland,OR
3/5/17 9:32,Kent,Washington
3/5/17 9:37,New York,NY
3/5/17 9:44,Altadena,California
3/5/17 10:00,Portland,OR
3/5/17 10:44,Chicago,IL
3/5/17 10:48,Houston,TX
3/5/17 11:39,Pittsfield,MA
3/5/17 11:59,New York,NY
3/5/17 13:33,Colorado Springs,CO
3/5/17 13:45,Charlotte,NC
3/5/17 14:41,Los Angeles,CA
3/5/17 14:59,Anchorage,AK
3/5/17 15:03,Salt Lake City,Utah
3/5/17 15:26,Altadena,California
3/5/17 17:30,Washington,DC
3/5/17 18:46,New York,NY
3/5/17 19:25,Altadena,California
3/5/17 20:04,Lockport,NY
3/5/17 20:18,Altadena,California
3/5/17 20:52,Concord,NH
3/6/17 2:22,Bloomington,IL
3/6/17 5:30,Billings,MT
3/6/17 5:30,Bozeman,MT
3/6/17 5:52,Seattle,WA
3/6/17 8:35,New York,NY
3/6/17 9:18,Wichita,KS
3/6/17 9:44,Washington,D.C.
3/6/17 10:08,Kansas City,Missouri
3/6/17 10:22,Framingham,MA
3/6/17 10:45,Seattle,WA
3/6/17 10:56,Oklahoma City,OK
3/6/17 11:41,Holland,MI
3/6/17 13:14,Wilton Manors,Florida
3/6/17 13:21,Washington,DC
3/6/17 15:18,Lexington,KY
3/6/17 15:43,New York,NY
3/6/17 15:48,Kansas City,MO
3/6/17 17:03,Spokane,WA
3/6/17 17:10,Seattle,WA
3/6/17 17:41,Altadena,California
3/6/17 18:26,Louisville,KY
3/6/17 19:43,Tacoma,WA
3/6/17 21:37,Framingham,MA
3/6/17 22:00,Houston,TX
3/7/17 1:10,Altadena,California
3/7/17 3:37,Beaumont,Texas
3/7/17 3:37,Greenwich,CT
3/7/17 4:04,Washington,DC
3/7/17 5:20,St. Louis,MO
3/7/17 6:15,New York,NY
3/7/17 7:11,New York,NY
3/7/17 7:33,Washington,DC
3/7/17 7:39,New York,NY
3/7/17 8:04,Tacoma,WA
3/7/17 8:21,Wausau,WI
3/7/17 8:41,New York,NY
3/7/17 9:37,Ypsilanti,MI
3/7/17 10:45,New York,NY
3/7/17 11:52,Staten Island,NY
3/7/17 12:15,Seattle,Washington
3/7/17 12:15,New York,New York
3/7/17 13:45,Louisville,KY
3/7/17 13:45,Kent,Washington
3/7/17 13:45,Lexington,KY
3/7/17 13:45,Owosso,MI
3/7/17 13:52,Louisville,KY
3/7/17 14:18,Louisville,KY
3/7/17 14:28,Washington,DC
3/7/17 14:41,New York,NY
3/7/17 15:29,Rochester,NY
3/7/17 17:07,Colorado Springs,CO
3/7/17 18:15,Kansas City,MO
3/7/17 19:11,Louisville,KY
3/7/17 21:15,Washington,DC
3/8/17 1:45,New Providence,New Jersey
3/8/17 3:26,Paducah,Kentucky
3/8/17 5:13,Fort Wayne,IN
3/8/17 7:11,Norwich,NY
3/8/17 9:17,Washington,DC
3/8/17 10:22,Miami,FL
3/8/17 11:30,Fort Lauderdale,FL
3/8/17 11:48,Topeka,KS
3/8/17 12:37,Kansas City,MO
3/8/17 13:33,Palatine,IL
3/8/17 13:33,Winston-Salem,NC
3/8/17 14:18,Lawrence,KS
3/8/17 14:18,Hays,KS
3/8/17 14:18,Gillette,WY
3/8/17 14:54,Washington,DC
3/8/17 14:56,Huntington,WV
3/8/17 15:15,Dallas,Texas
3/8/17 15:37,Chicago,IL
3/8/17 15:37,Evansville,IN
3/8/17 16:56,Raleigh,NC
3/8/17 18:48,Altadena,California
3/8/17 19:00,Pasadena,CA
3/8/17 21:01,Nanuet,NY
3/8/17 21:51,Youngstown,OH
3/9/17 8:07,Framingham,MA
3/9/17 8:41,Portland,OR
3/9/17 9:37,Park Forest,IL
3/9/17 10:22,Springfield,Illinois
3/9/17 12:15,New York,NY
3/9/17 12:35,Albany,New York
3/9/17 12:37,Washington,DC
3/9/17 13:45,Terre Haute,IN
3/9/17 14:21,San Leandro,CA
3/9/17 14:30,Kansas City,Missouri
3/9/17 16:08,Washington,DC
3/9/17 16:45,Attleboro,MA
3/9/17 18:15,Aberdeen,SD
3/9/17 19:22,Enumclaw,Washington
3/9/17 19:45,Yakima,WA
3/9/17 21:03,Richmond,KY
3/9/17 21:26,Rock Hill,SC
3/9/17 21:37,Portland,Oregon
3/10/17 1:22,San Francisco,CA
3/10/17 2:30,Cumming,GA
3/10/17 5:07,Monroe,Washington
3/10/17 6:24,Little Rock,AR
3/10/17 7:32,New York,NY
3/10/17 7:34,Atlanta,Georgia
3/10/17 8:07,Denver,CO
3/10/17 8:26,Staten Island,NY
3/10/17 8:35,New York,NY
3/10/17 8:53,Rochester,NY
3/10/17 9:26,New York,NY
3/10/17 11:05,Washington,DC
3/10/17 11:24,Charlottesville,VA
3/10/17 11:48,Washington,DC
3/10/17 12:15,Albany,New York
3/10/17 13:33,New York,New York
3/10/17 13:45,Bozeman,MT
3/10/17 13:45,Missoula,MT
3/10/17 14:52,Washington,DC
3/10/17 15:52,Rockville,MD
3/10/17 16:40,Brattleboro,VT
3/10/17 17:04,San Ramon,CA
3/10/17 17:13,New York,New York
3/10/17 18:12,Lihue,HI
3/10/17 18:43,Minneapolis,MN
3/10/17 20:18,Seattle,WA
3/10/17 22:56,Houston,Texas
3/11/17 5:07,Eugene,OR
3/11/17 7:45,Washington,D.C.
3/11/17 11:30,San Francisco,CA
3/11/17 14:30,Kansas City,Missouri
3/11/17 16:33,Bakersfield,CA
3/11/17 19:51,Washington,DC
3/11/17 20:35,Portland,OR
3/12/17 5:45,Missoula,MT
3/12/17 7:51,Greenwich,CT
3/12/17 8:00,Columbia,MO
3/12/17 9:18,Boise,ID
3/12/17 9:18,Chicago,IL
3/12/17 9:18,Middletown,CT
3/12/17 14:11,Renton,Washington
3/12/17 17:11,New York,NY
3/12/17 18:30,San Diego,California
3/12/17 19:32,Baltimore,MD
3/12/17 19:47,Atherton,CA
3/12/17 20:33,St. Louis,MO
3/12/17 21:07,Alpena,MI
3/13/17 5:00,Newton,Kansas
3/13/17 8:56,Bakersfield,CA
3/13/17 9:15,Birmingham,AL
3/13/17 9:18,Washington,DC
3/13/17 9:30,Durham,CT
3/13/17 10:21,Charlotte,NC
3/13/17 11:33,New York,NY
3/13/17 12:18,Costa Mesa,CA
3/13/17 13:26,Eugene,OR
3/13/17 14:00,New York,NY
3/13/17 14:33,Montgomery,AL
3/13/17 15:30,Rosenberg,Texas
3/13/17 16:03,West Palm Beach,FL
3/13/17 16:09,Brooklyn,New York
3/13/17 16:26,West Palm Beach,FL
3/13/17 19:15,Westport,CT
3/13/17 21:07,Harlingen,TX
3/13/17 23:56,New York,NY
3/14/17 7:20,Hobrook,MA
3/14/17 7:48,Brockton,MA
3/14/17 8:11,San Leandro,CA
3/14/17 10:37,New York,NY
3/14/17 11:16,New York,NY
3/14/17 11:19,Brooklyn,New York
3/14/17 11:56,San Ramon,CA
3/14/17 12:30,New York,NY
3/14/17 15:52,New York,NY
3/14/17 16:37,New York,NY
3/14/17 20:55,Portland,OR
3/14/17 22:48,Seattle,WA
3/14/17 23:56,Colorado Springs,CO
3/15/17 9:30,Detroit,MI
3/15/17 12:07,Seattle,WA
3/15/17 12:52,Los Angeles,CA
3/15/17 13:36,Washington,DC
3/15/17 14:17,Issaquah,Washington
3/15/17 17:56,New York,NY
3/15/17 19:48,Oakland,CA
3/16/17 5:45,Montgomery,AL
3/16/17 6:30,Washington,DC
3/16/17 6:30,Spokane,WA
3/16/17 6:59,Sioux Falls,SD
3/16/17 7:03,New York,NY
3/16/17 8:21,Logan,Utah
3/16/17 8:56,Washington,District of Columbia
3/16/17 9:30,Hilton Head Island,SC
3/16/17 9:39,Rock Hill,SC
3/16/17 10:48,Kansas City,Missouri
3/16/17 10:52,Providence,RI
3/16/17 11:00,Farmington,MN
3/16/17 11:00,Newton,MA
3/16/17 12:18,Washington,DC
3/16/17 12:30,Laredo,TX
3/16/17 13:54,Bayside,New York
3/16/17 14:06,Biloxi,MS
3/16/17 14:20,Denver,Colorado
3/16/17 14:39,Los Angeles,CA
3/16/17 15:38,San Leandro,CA
3/16/17 17:11,San Luis Obispo,CA
3/16/17 17:11,Fresno,CA
3/16/17 19:48,Los Angeles,CA
3/16/17 20:00,Moline,IL
3/16/17 22:03,San Francisco,CA
3/16/17 23:22,Pittsburgh,PA
3/17/17 6:07,Bellingham,Washington
3/17/17 6:07,New Bethlehem,PA
3/17/17 6:17,Laredo,TX
3/17/17 6:40,Seattle,WA
3/17/17 8:00,Topeka,KS
3/17/17 8:00,Lawrence,KS
3/17/17 8:00,Liberal,KS
3/17/17 10:32,Birmingham,AL
3/17/17 10:32,Wichita,KS
3/17/17 11:11,Washington,DC
3/17/17 12:30,San Leandro,CA
3/17/17 16:15,St. Louis,MO
3/17/17 16:48,Tucson,Arizona
3/17/17 16:58,Santa Rosa,CA
3/18/17 11:44,Seattle,WA
3/18/17 15:26,Wausau,WI
3/18/17 19:15,Washington,DC
3/19/17 7:07,New York,New York
3/19/17 12:52,New York,NY
3/19/17 19:37,Wausau,WI
3/20/17 0:30,Astoria,Oregon
3/20/17 0:41,Albuquerque,NM
3/20/17 0:41,Wausau,WI
3/20/17 13:03,La Crosse,WI
3/20/17 17:28,Sarasota,FL
3/20/17 17:56,Staten Island,NY
3/21/17 14:59,Fort Myers,FL
3/22/17 10:15,New York,New York
3/22/17 14:56,Burlington,NC
3/22/17 22:10,Charlotte,NC
3/23/17 3:30,New York,NY
3/23/17 3:52,New York,NY
3/23/17 4:03,Philadelphia,PA
3/23/17 4:12,New York,NY
3/23/17 8:22,Mountain View,CA
3/23/17 9:52,New York,NY
3/23/17 11:00,New York,NY
3/23/17 11:45,San Francisco,CA
3/23/17 11:51,Minneapolis,MN
3/23/17 12:09,New York,NY
3/23/17 12:36,Pensacola,FL
3/23/17 12:41,New York City,New York
3/23/17 20:22,Fargo,North Dakota
3/23/17 23:37,New York,NY
3/24/17 11:11,Jackson,MS
3/24/17 11:11,Seattle,WA
3/24/17 11:56,West Palm Beach,Florida
3/24/17 13:10,Washington,District of Columbia
3/24/17 13:26,Waltham,MA
3/24/17 13:34,Kansas City,KS
3/24/17 14:36,Stevens Point,WI
3/24/17 14:45,Cape Girardeau,MO
3/24/17 14:56,Anthem,Arizona
3/24/17 16:14,Emeryville,CA
3/24/17 16:15,Baltimore,MD
3/24/17 16:26,Sheboygan,WI
3/24/17 18:18,Washington,DC
3/24/17 19:26,Houma,Louisiana
3/24/17 23:33,Union City,CA
3/25/17 1:48,Altadena,California
3/25/17 2:00,Chicago,IL
3/25/17 2:33,Waltham,MA
3/25/17 5:22,Washington,DC
3/25/17 7:26,Bellevue,WA
3/25/17 8:56,Oklahoma City,OK
3/25/17 14:00,Milwaukee,WI
3/25/17 17:45,Kennewick,WA
3/25/17 20:30,New Haven,CT
3/26/17 8:18,Denver,CO
3/26/17 16:15,Columbus,OH
