,RouteId,Latitude,Longitude,Average_Temperature,Average_Wind_Speed,Average_Wind_Direction,Average_Cloud_Coverage,Average_Feels_Like_Temperature,Average_Min_Temperature,Average_Max_Temperature,Average_Pressure,Average_Humidity,Average_Main_Weather_Condition,FRC_Traffic,Current_Speed_Traffic,Free_Flow_Speed_Traffic,Current_Travel_Time_Traffic,Road_Closure_Traffic,Gas_Stations,Rest_Stops,Restaurants,Safety_Score
24,Route0,41.15598,-78.81517,4.168750000000001,4.975,261.5,91.625,0.37375,3.9025000000000003,4.23,1008.125,85.75,Rain,FRC4,89.0,89.0,206.0,False,20.0,20.0,1.0,0.0
25,Route0,41.16966,-79.0123,3.19,3.175,247.125,78.875,0.605,2.7424999999999997,3.19,1012.5,77.75,Clouds,FRC2,83.0,83.0,389.0,False,9.0,9.0,0.0,0.0
26,Route0,41.20005,-79.48697,10.413749999999999,2.7325,243.375,57.0,9.61,9.938749999999999,10.413749999999999,1013.125,67.625,Clouds,FRC4,82.0,82.0,109.0,False,7.0,7.0,0.0,0.0
27,Route0,41.18982,-79.85592,4.55875,4.6362499999999995,259.875,87.875,1.0225,3.9975,4.55875,1009.125,80.875,Clouds,FRC0,118.0,118.0,250.0,False,20.0,20.0,3.0,0.0
28,Route0,41.18689,-80.27463,7.75125,3.765,232.25,91.75,5.4775,7.62375,7.75125,1007.125,77.875,Clouds,FRC4,70.0,70.0,175.0,False,11.0,11.0,0.0,0.0
29,Route0,41.14843,-80.68966,5.055,4.55125,260.5,98.75,1.6887500000000002,4.5825,5.055,1009.875,74.75,Clouds,FRC4,56.0,56.0,377.0,False,20.0,20.0,20.0,0.0
30,Route0,41.11858,-80.79784,4.50375,4.6625000000000005,260.75,92.5,0.9537500000000001,3.985,4.50375,1009.125,78.25,Clouds,FRC0,103.0,103.0,127.0,False,20.0,20.0,12.0,0.0
31,Route0,41.14896,-80.8893,3.80625,2.92,264.5,79.625,1.8199999999999998,3.23875,3.80625,1014.75,77.5,Clouds,FRC0,120.0,120.0,270.0,False,20.0,20.0,1.0,0.5
32,Route0,41.23135,-80.97308,4.63875,4.786249999999999,260.625,91.75,1.055,4.3625,4.63875,1009.875,79.25,Clouds,FRC4,51.0,51.0,187.0,False,20.0,20.0,0.0,0.0
33,Route0,41.24256,-81.12775,6.59375,2.8474999999999993,207.0,82.0,4.7875,6.58625,6.6049999999999995,1005.5,81.875,Clouds,FRC0,120.0,120.0,314.0,False,20.0,20.0,2.0,0.0
34,Route0,41.2565,-81.55427,4.641249999999999,4.94125,262.125,100.0,0.9837499999999999,4.365,4.641249999999999,1010.0,78.25,Clouds,FRC0,120.0,120.0,523.0,False,20.0,20.0,5.0,0.0
35,Route0,41.32587,-81.79023,4.11125,5.80625,264.375,100.0,-0.09375,3.88,4.12375,1010.25,81.75,Clouds,FRC0,121.0,121.0,506.0,False,20.0,20.0,18.0,0.0
